"","row","column","n_celulas","n_amas.x","n_cels_infec","mean_ama_cel","composto","conc","pop","n_amas.y","corrected_ama","ama_per_cell","experiment","gene"
"180","B",11,1233,7009,848,5.685,"MILT",0,"C58",779,6230,7.34669811320755,"EXP 3","GSH1"
"181","B",2,1351,14955,1072,11.07,"MILT",0,"C67",562,14393,13.4263059701493,"EXP 4","GSH1"
"182","C",2,1664,15252,1270,9.166,"MILT",1.25,"C67",753,14499,11.4165354330709,"EXP 4","GSH1"
"183","D",2,1530,8541,1051,5.582,"MILT",2.5,"C67",333,8208,7.80970504281637,"EXP 4","GSH1"
"184","E",2,1108,4635,725,4.183,"MILT",5,"C67",255,4380,6.04137931034483,"EXP 4","GSH1"
"185","F",2,793,3590,627,4.527,"MILT",10,"C67",205,3385,5.39872408293461,"EXP 4","GSH1"
"186","G",2,559,1518,374,2.716,"MILT",20,"C67",209,1309,3.5,"EXP 4","GSH1"
"187","G",3,471,3039,359,6.452,"MILT",20,"C6",209,2830,7.88300835654596,"EXP 4","GSH1"
"188","F",3,500,2380,379,4.76,"MILT",10,"C6",205,2175,5.73878627968338,"EXP 4","GSH1"
"189","E",3,684,7085,586,10.36,"MILT",5,"C6",255,6830,11.6552901023891,"EXP 4","GSH1"
"190","D",3,1292,11577,1017,8.961,"MILT",2.5,"C6",333,11244,11.0560471976401,"EXP 4","GSH1"
"191","C",3,1509,17060,1261,11.31,"MILT",1.25,"C6",753,16307,12.9318001586043,"EXP 4","GSH1"
"192","B",3,1623,20058,1360,12.36,"MILT",0,"C6",562,19496,14.3352941176471,"EXP 4","GSH1"
"193","B",4,986,562,264,0.57,"MILT",0,"THP-1",562,0,0,"EXP 4","GSH1"
"194","C",4,1084,753,315,0.6946,"MILT",1.25,"THP-1",753,0,0,"EXP 4","GSH1"
"195","D",4,862,333,186,0.3863,"MILT",2.5,"THP-1",333,0,0,"EXP 4","GSH1"
"196","E",4,511,255,158,0.499,"MILT",5,"THP-1",255,0,0,"EXP 4","GSH1"
"197","F",4,533,205,103,0.3846,"MILT",10,"THP-1",205,0,0,"EXP 4","GSH1"
"198","G",4,532,209,97,0.3929,"MILT",20,"THP-1",209,0,0,"EXP 4","GSH1"
"199","G",5,287,827,197,2.882,"MILT",20,"REF",209,618,3.13705583756345,"EXP 4","GSH1"
"200","F",5,449,2020,342,4.499,"MILT",10,"REF",205,1815,5.30701754385965,"EXP 4","GSH1"
"201","E",5,589,3069,461,5.211,"MILT",5,"REF",255,2814,6.10412147505423,"EXP 4","GSH1"
"202","D",5,959,6192,756,6.457,"MILT",2.5,"REF",333,5859,7.75,"EXP 4","GSH1"
"203","C",5,1721,11979,1243,6.96,"MILT",1.25,"REF",753,11226,9.03137570394208,"EXP 4","GSH1"
"204","B",5,1631,14683,1257,9.002,"MILT",0,"REF",562,14121,11.2338902147971,"EXP 4","GSH1"
"205","B",6,1262,10167,945,8.056,"MILT",0,"C85",562,9605,10.1640211640212,"EXP 4","GSH1"
"206","C",6,1113,7973,853,7.164,"MILT",1.25,"C85",753,7220,8.46424384525205,"EXP 4","GSH1"
"207","D",6,1044,3950,663,3.784,"MILT",2.5,"C85",333,3617,5.45550527903469,"EXP 4","GSH1"
"208","E",6,934,1768,482,1.893,"MILT",5,"C85",255,1513,3.13900414937759,"EXP 4","GSH1"
"209","F",6,826,1921,506,2.326,"MILT",10,"C85",205,1716,3.39130434782609,"EXP 4","GSH1"
"210","G",6,532,1128,342,2.12,"MILT",20,"C85",209,919,2.68713450292398,"EXP 4","GSH1"
"211","G",7,431,1358,285,3.151,"MILT",20,"C73",209,1149,4.03157894736842,"EXP 4","GSH1"
"212","F",7,413,1282,273,3.104,"MILT",10,"C73",205,1077,3.94505494505495,"EXP 4","GSH1"
"213","E",7,822,3286,596,3.998,"MILT",5,"C73",255,3031,5.08557046979866,"EXP 4","GSH1"
"214","D",7,1085,5080,780,4.682,"MILT",2.5,"C73",333,4747,6.08589743589744,"EXP 4","GSH1"
"215","C",7,1444,12302,1127,8.519,"MILT",1.25,"C73",753,11549,10.2475598935226,"EXP 4","GSH1"
"216","B",7,1621,14001,1269,8.637,"MILT",0,"C73",562,13439,10.5902285263987,"EXP 4","GSH1"
"217","B",8,1746,12380,1229,7.09,"MILT",0,"C76",562,11818,9.61594792514239,"EXP 4","GSH1"
"218","C",8,1855,12884,1368,6.946,"MILT",1.25,"C76",753,12131,8.86769005847953,"EXP 4","GSH1"
"219","D",8,1408,5747,987,4.082,"MILT",2.5,"C76",333,5414,5.48530901722391,"EXP 4","GSH1"
"220","E",8,740,3433,536,4.639,"MILT",5,"C76",255,3178,5.92910447761194,"EXP 4","GSH1"
"221","F",8,914,4288,701,4.691,"MILT",10,"C76",205,4083,5.82453637660485,"EXP 4","GSH1"
"222","G",8,838,3975,621,4.743,"MILT",20,"C76",209,3766,6.06441223832528,"EXP 4","GSH1"
"223","G",9,374,980,242,2.62,"MILT",20,"C58",209,771,3.18595041322314,"EXP 4","GSH1"
"224","F",9,579,2017,408,3.484,"MILT",10,"C58",205,1812,4.44117647058824,"EXP 4","GSH1"
"225","E",9,679,2266,436,3.337,"MILT",5,"C58",255,2011,4.61238532110092,"EXP 4","GSH1"
"226","D",9,945,4081,652,4.319,"MILT",2.5,"C58",333,3748,5.74846625766871,"EXP 4","GSH1"
"227","C",9,1463,7578,1065,5.18,"MILT",1.25,"C58",753,6825,6.40845070422535,"EXP 4","GSH1"
"228","B",9,1330,8972,977,6.746,"MILT",0,"C58",562,8410,8.60798362333674,"EXP 4","GSH1"
"229","B",10,1205,7383,852,6.127,"MILT",0,"C7",562,6821,8.00586854460094,"EXP 4","GSH1"
"230","C",10,1237,7948,917,6.425,"MILT",1.25,"C7",753,7195,7.84623773173391,"EXP 4","GSH1"
"231","D",10,1077,3487,711,3.238,"MILT",2.5,"C7",333,3154,4.43600562587904,"EXP 4","GSH1"
"232","E",10,948,2385,558,2.516,"MILT",5,"C7",255,2130,3.81720430107527,"EXP 4","GSH1"
"233","F",10,799,2531,524,3.168,"MILT",10,"C7",205,2326,4.43893129770992,"EXP 4","GSH1"
"234","G",10,891,2535,595,2.845,"MILT",20,"C7",209,2326,3.90924369747899,"EXP 4","GSH1"
"235","G",11,347,973,225,2.804,"MILT",20,"C44",209,764,3.39555555555556,"EXP 4","GSH1"
"236","F",11,374,1417,254,3.789,"MILT",10,"C44",205,1212,4.77165354330709,"EXP 4","GSH1"
"237","E",11,678,2798,467,4.127,"MILT",5,"C44",255,2543,5.44539614561028,"EXP 4","GSH1"
"238","D",11,1114,4758,748,4.271,"MILT",2.5,"C44",333,4425,5.91577540106952,"EXP 4","GSH1"
"239","C",11,1319,11289,1043,8.559,"MILT",1.25,"C44",753,10536,10.1016299137105,"EXP 4","GSH1"
"240","B",11,1408,12641,1117,8.978,"MILT",0,"C44",562,12079,10.8137869292748,"EXP 4","GSH1"
"241","G",7,2060,729,343,2.125,"MILT",20,"THP-1",459,270,0.787172011661808,"EXP 1","PGPA"
"242","F",7,1736,633,299,2.117,"MILT",10,"THP-1",407.5,225.5,0.754180602006689,"EXP 1","PGPA"
